,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,g-xg,np:g-xg,sca,gca,att 3rd,att pen,att,succ,succ%,prgc,1/3,cpa,year,team
9,2024-06-04,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1,2,at Austria,,,,37800.0,Dušan Tadić,4-2-3-1,António Nobre,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Serbia
10,2024-06-08,18:00,Friendlies (M),Friendlies (M),Sat,Away,W,3,0,se Sweden,,,,46956.0,Aleksandar Mitrović,3-5-2,Jasper Vergoote,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Serbia
11,2024-06-16,21:00,UEFA Euro,Group stage,Sun,Neutral,L,0,1,eng England,0.2,0.5,47.0,48953.0,Aleksandar Mitrović,3-4-3,Daniele Orsato,Match Report,,6.0,1.0,16.7,0.0,0.0,24.5,0,0,-0.2,-0.2,10.0,0.0,121.0,11.0,8.0,8.0,100.0,16.0,19.0,1.0,2024,Serbia
12,2024-06-20,15:00,UEFA Euro,Group stage,Thu,Neutral,D,1,1,si Slovenia,1.6,1.4,60.0,63028.0,Dušan Tadić,3-4-3,István Kovács,Match Report,,15.0,4.0,26.7,0.07,0.25,14.2,0,0,-0.6,-0.6,27.0,2.0,182.0,21.0,20.0,8.0,40.0,17.0,10.0,3.0,2024,Serbia
13,2024-06-25,21:00,UEFA Euro,Group stage,Tue,Neutral,D,0,0,dk Denmark,0.3,0.7,47.0,64288.0,Aleksandar Mitrović,3-4-3,François Letexier,Match Report,,5.0,1.0,20.0,0.0,0.0,14.3,0,0,-0.3,-0.3,10.0,0.0,87.0,10.0,6.0,2.0,33.3,13.0,14.0,0.0,2024,Serbia
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2,1,it Italy,,,42.0,44536.0,Harry Kane,4-3-3,Srđan Jovanović,Match Report,,7.0,4.0,57.1,0.14,0.25,,1,1,,,,,,,,,,,,,2024,England
1,2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,ua Ukraine,,,58.0,83947.0,Harry Kane,4-3-3,Serdar Gözübüyük,Match Report,,18.0,8.0,44.4,0.11,0.25,,0,0,,,,,,,,,,,,,2024,England
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4,0,mt Malta,,,66.0,16277.0,Harry Kane,4-3-3,Igor Pajač,Match Report,,16.0,8.0,50.0,0.06,0.13,,2,2,,,,,,,,,,,,,2024,England
3,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,7,0,mk N. Macedonia,,,67.0,70708.0,Harry Kane,4-3-3,István Kovács,Match Report,,14.0,10.0,71.4,0.43,0.6,,1,1,,,,,,,,,,,,,2024,England
4,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,ua Ukraine,,,68.0,39000.0,Harry Kane,4-3-3,Georgi Kabakov,Match Report,,11.0,4.0,36.4,0.09,0.25,,0,0,,,,,,,,,,,,,2024,England
5,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3,1,it Italy,,,51.0,83194.0,Harry Kane,4-2-3-1,Clément Turpin,Match Report,,9.0,6.0,66.7,0.22,0.33,,1,1,,,,,,,,,,,,,2024,England
6,2023-11-17,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,0,mt Malta,,,75.0,81388.0,Harry Kane,4-3-3,Luís Godinho,Match Report,,11.0,3.0,27.3,0.09,0.33,,0,0,,,,,,,,,,,,,2024,England
7,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1,1,mk N. Macedonia,,,75.0,27982.0,Kyle Walker,4-2-3-1,Filip Glova,Match Report,,16.0,2.0,12.5,0.0,0.0,,0,0,,,,,,,,,,,,,2024,England
8,2024-03-23,19:00,Friendlies (M),Friendlies (M),Sat,Home,L,0,1,br Brazil,,,,83674.0,Kyle Walker,4-2-3-1,Artur Dias,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,England
9,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,D,2,2,be Belgium,,,,80733.0,Declan Rice,4-2-3-1,Sebastian Gishamer,Match Report,,,,,,,,1,1,,,,,,,,,,,,,2024,England
10,2024-06-03,19:45,Friendlies (M),Friendlies (M),Mon,Home,W,3,0,ba Bosnia & Herz'na,,,,50061.0,Kieran Trippier,4-2-3-1,Rohit Saggi,Match Report,,,,,,,,1,1,,,,,,,,,,,,,2024,England
11,2024-06-07,19:45,Friendlies (M),Friendlies (M),Fri,Home,L,0,1,is Iceland,,,,81410.0,Harry Kane,4-2-3-1,Davide Massa,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,England
12,2024-06-16,21:00,UEFA Euro,Group stage,Sun,Neutral,W,1,0,rs Serbia,0.5,0.2,53.0,48953.0,Harry Kane,4-2-3-1,Daniele Orsato,Match Report,,5.0,3.0,60.0,0.2,0.33,18.9,0,0,0.5,0.5,10.0,2.0,144.0,12.0,22.0,8.0,36.4,12.0,14.0,6.0,2024,England
13,2024-06-20,18:00,UEFA Euro,Group stage,Thu,Neutral,D,1,1,dk Denmark,0.9,0.8,49.0,46177.0,Harry Kane,4-2-3-1,Artur Soares Dias,Match Report,,12.0,4.0,33.3,0.08,0.25,17.3,0,0,0.1,0.1,21.0,2.0,109.0,12.0,24.0,11.0,45.8,13.0,7.0,4.0,2024,England
14,2024-06-25,21:00,UEFA Euro,Group stage,Tue,Neutral,D,0,0,si Slovenia,0.8,0.2,73.0,41536.0,Harry Kane,4-3-3,Clément Turpin,Match Report,,12.0,3.0,25.0,0.0,0.0,21.6,0,0,-0.8,-0.8,24.0,0.0,236.0,28.0,15.0,5.0,33.3,16.0,19.0,0.0,2024,England
15,2024-06-30,18:00,UEFA Euro,Round of 16,Sun,Neutral,W,2,1,sk Slovakia,1.5,2.2,63.0,47244.0,Harry Kane,4-2-3-1,Halil Umut Meler,Match Report,Required Extra Time,16.0,2.0,12.5,0.13,1.0,17.2,0,0,0.5,0.5,28.0,4.0,241.0,38.0,31.0,14.0,45.2,19.0,12.0,6.0,2024,England
16,2024-07-06,18:00,UEFA Euro,Quarter-finals,Sat,Neutral,D,1 (5),1 (3),ch Switzerland,0.6,1.5,52.0,46907.0,Harry Kane,3-4-3,Daniele Orsato,Match Report,England won on penalty kicks following extra time,13.0,3.0,23.1,0.08,0.33,19.5,0,0,0.4,0.4,24.0,2.0,274.0,34.0,22.0,11.0,50.0,32.0,24.0,14.0,2024,England
17,2024-07-10,21:00,UEFA Euro,Semi-finals,Wed,Neutral,W,2,1,nl Netherlands,1.2,0.5,59.0,60926.0,Harry Kane,3-4-3,Felix Zwayer,Match Report,,8.0,3.0,37.5,0.13,0.33,20.7,1,1,0.8,0.5,17.0,4.0,167.0,15.0,12.0,6.0,50.0,19.0,24.0,1.0,2024,England
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,0,ad Andorra,,,71.0,2927.0,Nicolae Stanciu,4-1-4-1,Dario Bel,Match Report,,12.0,4.0,33.3,0.17,0.5,,0,0,,,,,,,,,,,,,2024,Romania
1,2023-03-28,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,1,by Belarus,,,52.0,27837.0,Nicolae Stanciu,4-3-3,Allard Lindhout,Match Report,,20.0,3.0,15.0,0.1,0.67,,0,0,,,,,,,,,,,,,2024,Romania
2,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,D,0,0,xk Kosovo,,,40.0,11000.0,Nicolae Stanciu,4-3-3,Danny Makkelie,Match Report,,16.0,3.0,18.8,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Romania
3,2023-06-19,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,2,2,ch Switzerland,,,28.0,14400.0,Nicolae Stanciu,3-4-3,Daniele Orsato,Match Report,,6.0,3.0,50.0,0.33,0.67,,0,0,,,,,,,,,,,,,2024,Romania
4,2023-09-09,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1,1,il Israel,,,38.0,49193.0,Nicolae Stanciu,4-2-3-1,Slavko Vinčič,Match Report,,8.0,3.0,37.5,0.13,0.33,,0,0,,,,,,,,,,,,,2024,Romania
5,2023-09-12,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,0,xk Kosovo,,,72.0,29982.0,Nicolae Stanciu,4-1-4-1,Willy Delajod,Match Report,,21.0,8.0,38.1,0.1,0.25,,0,1,,,,,,,,,,,,,2024,Romania
6,2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,0,0,by Belarus,,,68.0,,Nicolae Stanciu,4-1-4-1,Espen Eskås,Match Report,,19.0,5.0,26.3,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Romania
7,2023-10-15,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,ad Andorra,,,79.0,21723.0,Nicolae Stanciu,4-2-3-1,Kristo Tohver,Match Report,,17.0,9.0,52.9,0.18,0.33,,1,1,,,,,,,,,,,,,2024,Romania
8,2023-11-18,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,il Israel,,,35.0,2921.0,Nicolae Stanciu,4-2-3-1,François Letexier,Match Report,,18.0,8.0,44.4,0.11,0.25,,0,0,,,,,,,,,,,,,2024,Romania
9,2023-11-21,21:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,1,0,ch Switzerland,,,36.0,50224.0,Nicolae Stanciu,4-1-4-1,Davide Massa,Match Report,,9.0,4.0,44.4,0.11,0.25,,0,0,,,,,,,,,,,,,2024,Romania
10,2024-03-22,21:45,Friendlies (M),Friendlies (M),Fri,Home,D,1,1,nir Northern Ireland,,,,30439.0,Nicolae Stanciu,4-1-4-1,Kristoffer Karlsson,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Romania
11,2024-03-26,20:30,Friendlies (M),Friendlies (M),Tue,Neutral,L,2,3,co Colombia,,,,,Nicolae Stanciu,4-1-4-1,Alejandro Muñíz,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Romania
12,2024-06-04,21:30,Friendlies (M),Friendlies (M),Tue,Home,D,0,0,bg Bulgaria,,,,19000.0,Nicolae Stanciu,4-1-4-1,Atilla Karaoğlan,Match Report,,,,,,,,0,1,,,,,,,,,,,,,2024,Romania
13,2024-06-07,21:00,Friendlies (M),Friendlies (M),Fri,Home,D,0,0,li Liechtenstein,,,,25097.0,Ianis Hagi,4-1-4-1,Menelaos Antoniou,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Romania
14,2024-06-17,15:00,UEFA Euro,Group stage,Mon,Neutral,W,3,0,ua Ukraine,1.1,0.7,30.0,61591.0,Nicolae Stanciu,4-1-4-1,Glenn Nyberg,Match Report,,9.0,5.0,55.6,0.33,0.6,21.6,0,0,1.9,1.9,16.0,5.0,85.0,8.0,25.0,11.0,44.0,10.0,10.0,2.0,2024,Romania
15,2024-06-22,21:00,UEFA Euro,Group stage,Sat,Neutral,L,0,2,be Belgium,0.9,1.7,45.0,42535.0,Nicolae Stanciu,4-1-4-1,Szymon Marciniak,Match Report,,14.0,4.0,28.6,0.0,0.0,20.4,0,0,-0.9,-0.9,23.0,0.0,129.0,18.0,7.0,1.0,14.3,6.0,4.0,2.0,2024,Romania
16,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Neutral,D,1,1,sk Slovakia,1.2,0.9,42.0,45033.0,Nicolae Stanciu,4-1-4-1,Daniel Siebert,Match Report,,8.0,4.0,50.0,0.0,0.0,23.4,1,1,-0.2,-0.4,15.0,2.0,103.0,10.0,12.0,7.0,58.3,8.0,5.0,3.0,2024,Romania
17,2024-07-02,18:00,UEFA Euro,Round of 16,Tue,Neutral,L,0,3,nl Netherlands,0.3,2.8,35.0,65012.0,Nicolae Stanciu,4-1-4-1,Felix Zwayer,Match Report,,5.0,1.0,20.0,0.0,0.0,21.2,0,0,-0.3,-0.3,7.0,0.0,93.0,9.0,8.0,1.0,12.5,8.0,5.0,1.0,2024,Romania
0,2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0,2,eng England,,,42.0,83947.0,Oleksandr Zinchenko,4-2-3-1,Serdar Gözübüyük,Match Report,,3.0,0.0,0.0,0.0,,,0,0,,,,,,,,,,,,,2024,Ukraine
1,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,2,mk N. Macedonia,,,52.0,14370.0,Andriy Yarmolenko,4-4-2,Lukas Fähndrich,Match Report,,6.0,3.0,50.0,0.5,1.0,,0,0,,,,,,,,,,,,,2024,Ukraine
2,2023-06-19,18:00,UEFA Euro Qualifying,Group stage,Mon,Home,W,1,0,mt Malta,,,64.0,7543.0,Andriy Yarmolenko,4-2-3-1,Ruddy Buquet,Match Report,,19.0,8.0,42.1,0.0,0.0,,1,2,,,,,,,,,,,,,2024,Ukraine
3,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1,1,eng England,,,32.0,39000.0,Taras Stepanenko,4-2-3-1,Georgi Kabakov,Match Report,,2.0,1.0,50.0,0.5,1.0,,0,0,,,,,,,,,,,,,2024,Ukraine
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,2,it Italy,,,36.0,58386.0,Andriy Yarmolenko,4-2-3-1,Alejandro Hernández,Match Report,,9.0,3.0,33.3,0.11,0.33,,0,0,,,,,,,,,,,,,2024,Ukraine
5,2023-10-14,16:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,0,mk N. Macedonia,,,45.0,12939.0,Taras Stepanenko,4-2-3-1,Slavko Vinčič,Match Report,,18.0,7.0,38.9,0.11,0.29,,0,0,,,,,,,,,,,,,2024,Ukraine
6,2023-10-17,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3,1,mt Malta,,,66.0,3547.0,Oleksandr Zinchenko,4-2-3-1,Morten Krogh,Match Report,,16.0,6.0,37.5,0.06,0.17,,1,1,,,,,,,,,,,,,2024,Ukraine
7,2023-11-20,21:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,0,0,it Italy,,,42.0,26403.0,Taras Stepanenko,4-1-4-1,Jesús Gil,Match Report,,7.0,4.0,57.1,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Ukraine
8,2024-03-21,20:45,UEFA Euro Qualifying,Semi-finals,Thu,Away,W,2,1,ba Bosnia & Herz'na,,,66.0,,Oleksandr Zinchenko,4-2-3-1,Felix Zwayer,Match Report,,12.0,4.0,33.3,0.17,0.5,,0,0,,,,,,,,,,,,,2024,Ukraine
9,2024-03-26,20:45,UEFA Euro Qualifying,Finals,Tue,Home,W,2,1,is Iceland,,,60.0,,Mykola Matviyenko,4-3-3,Clément Turpin,Match Report,,13.0,5.0,38.5,0.15,0.4,,0,0,,,,,,,,,,,,,2024,Ukraine
10,2024-06-03,20:45,Friendlies (M),Friendlies (M),Mon,Away,D,0,0,de Germany,,,,42789.0,Taras Stepanenko,5-4-1,Walter Altmann,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Ukraine
11,2024-06-07,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,1,3,pl Poland,,,,47013.0,Andriy Yarmolenko,4-1-4-1,Andy Madley,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Ukraine
12,2024-06-11,19:00,Friendlies (M),Friendlies (M),Tue,Away,W,4,0,md Moldova,,,,8247.0,Taras Stepanenko,4-2-2-2,Andrei Chivulete,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Ukraine
13,2024-06-17,15:00,UEFA Euro,Group stage,Mon,Neutral,L,0,3,ro Romania,0.7,1.1,70.0,61591.0,Taras Stepanenko,4-2-3-1,Glenn Nyberg,Match Report,,13.0,2.0,15.4,0.0,0.0,22.3,0,0,-0.7,-0.7,26.0,0.0,192.0,18.0,11.0,7.0,63.6,24.0,23.0,4.0,2024,Ukraine
14,2024-06-21,15:00,UEFA Euro,Group stage,Fri,Neutral,W,2,1,sk Slovakia,1.5,0.8,44.0,43910.0,Andriy Yarmolenko,4-2-3-1,Michael Oliver,Match Report,,13.0,5.0,38.5,0.15,0.4,15.1,0,0,0.5,0.5,25.0,4.0,99.0,21.0,9.0,5.0,55.6,19.0,12.0,2.0,2024,Ukraine
15,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Neutral,D,0,0,be Belgium,0.8,0.9,40.0,54000.0,Mykola Matviyenko,5-3-2,Anthony Taylor,Match Report,,13.0,4.0,30.8,0.0,0.0,20.4,0,0,-0.8,-0.8,25.0,0.0,82.0,14.0,4.0,4.0,100.0,13.0,11.0,4.0,2024,Ukraine
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,0,se Sweden,,,56.0,49296.0,Kevin De Bruyne,4-2-2-2,Orel Grinfeeld,Match Report,,14.0,5.0,35.7,0.21,0.6,,0,0,,,,,,,,,,,,,2024,Belgium
1,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,D,1,1,at Austria,,,56.0,39237.0,Romelu Lukaku,3-5-2,Jérôme Brisard,Match Report,,17.0,2.0,11.8,0.06,0.5,,0,0,,,,,,,,,,,,,2024,Belgium
2,2023-06-20,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,3,0,ee Estonia,,,67.0,11772.0,Romelu Lukaku,4-3-3,John Beaton,Match Report,,12.0,5.0,41.7,0.25,0.6,,0,0,,,,,,,,,,,,,2024,Belgium
3,2023-09-09,17:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,1,0,az Azerbaijan,,,54.0,4500.0,Romelu Lukaku,4-3-3,Nenad Minaković,Match Report,,16.0,6.0,37.5,0.06,0.17,,0,0,,,,,,,,,,,,,2024,Belgium
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,5,0,ee Estonia,,,75.0,24127.0,Romelu Lukaku,4-3-3,Bartosz Frankowski,Match Report,,22.0,11.0,50.0,0.23,0.45,,0,0,,,,,,,,,,,,,2024,Belgium
5,2023-10-13,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,2,at Austria,,,42.0,47000.0,Romelu Lukaku,4-3-3,Jesús Gil,Match Report,,8.0,5.0,62.5,0.38,0.6,,0,0,,,,,,,,,,,,,2024,Belgium
6,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,D,1,1,se Sweden,,,66.0,,Romelu Lukaku,4-4-2,Maurizio Mariani,Match Report,Match awarded to,9.0,3.0,33.3,0.0,0.0,,1,1,,,,,,,,,,,,,2024,Belgium
7,2023-11-19,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,5,0,az Azerbaijan,,,75.0,30276.0,Romelu Lukaku,4-2-3-1,Gergő Bogár,Match Report,,22.0,7.0,31.8,0.23,0.71,,0,0,,,,,,,,,,,,,2024,Belgium
8,2024-03-23,17:00,Friendlies (M),Friendlies (M),Sat,Away,D,0,0,ie Rep. of Ireland,,,,38128.0,Youri Tielemans,4-1-4-1,Rohit Saggi,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Belgium
9,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Away,D,2,2,eng England,,,,80733.0,Romelu Lukaku,4-1-4-1,Sebastian Gishamer,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Belgium
10,2024-06-05,20:30,Friendlies (M),Friendlies (M),Wed,Home,W,2,0,me Montenegro,,,,19246.0,Kevin De Bruyne,4-2-3-1,Kristoffer Karlsson,Match Report,,,,,,,,1,1,,,,,,,,,,,,,2024,Belgium
11,2024-06-08,20:00,Friendlies (M),Friendlies (M),Sat,Home,W,3,0,lu Luxembourg,,,,35287.0,Kevin De Bruyne,4-2-3-1,Paweł Raczkowski,Match Report,,,,,,,,1,1,,,,,,,,,,,,,2024,Belgium
12,2024-06-17,18:00,UEFA Euro,Group stage,Mon,Neutral,L,0,1,sk Slovakia,1.6,0.6,60.0,45181.0,Kevin De Bruyne,4-2-3-1,Halil Umut Meler,Match Report,,16.0,4.0,25.0,0.0,0.0,16.3,0,0,-1.6,-1.6,27.0,0.0,144.0,33.0,17.0,8.0,47.1,16.0,9.0,12.0,2024,Belgium
13,2024-06-22,21:00,UEFA Euro,Group stage,Sat,Neutral,W,2,0,ro Romania,1.7,0.9,55.0,42535.0,Kevin De Bruyne,4-2-3-1,Szymon Marciniak,Match Report,,20.0,9.0,45.0,0.1,0.22,16.1,0,0,0.3,0.3,36.0,2.0,192.0,40.0,23.0,10.0,43.5,24.0,11.0,17.0,2024,Belgium
14,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Neutral,D,0,0,ua Ukraine,0.9,0.8,60.0,54000.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,12.0,4.0,33.3,0.0,0.0,21.6,0,0,-0.9,-0.9,23.0,0.0,206.0,16.0,19.0,8.0,42.1,22.0,20.0,4.0,2024,Belgium
15,2024-07-01,18:00,UEFA Euro,Round of 16,Mon,Neutral,L,0,1,fr France,0.2,1.1,45.0,46810.0,Kevin De Bruyne,4-4-2,Glenn Nyberg,Match Report,,5.0,2.0,40.0,0.0,0.0,19.3,0,0,-0.2,-0.2,10.0,0.0,85.0,12.0,15.0,6.0,40.0,13.0,14.0,4.0,2024,Belgium
0,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,D,0,0,lu Luxembourg,,,52.0,3523.0,Juraj Kucka,4-3-3,Rade Obrenović,Match Report,,18.0,3.0,16.7,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Slovakia
1,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,ba Bosnia & Herz'na,,,45.0,6052.0,Juraj Kucka,4-3-3,Marco Di Bello,Match Report,,14.0,4.0,28.6,0.14,0.5,,0,0,,,,,,,,,,,,,2024,Slovakia
2,2023-06-17,18:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,is Iceland,,,52.0,7555.0,Marek Hamšík,4-3-3,Don Robertson,Match Report,,14.0,4.0,28.6,0.14,0.5,,0,0,,,,,,,,,,,,,2024,Slovakia
3,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,1,0,li Liechtenstein,,,76.0,2316.0,Marek Hamšík,4-3-3,Igal Frid,Match Report,,21.0,4.0,19.0,0.05,0.25,,0,0,,,,,,,,,,,,,2024,Slovakia
4,2023-09-08,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,L,0,1,pt Portugal,,,44.0,21473.0,Milan Škriniar,4-3-3,Glenn Nyberg,Match Report,,10.0,2.0,20.0,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Slovakia
5,2023-09-11,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,3,0,li Liechtenstein,,,80.0,13679.0,Milan Škriniar,4-3-3,Sander van der Eijk,Match Report,,13.0,5.0,38.5,0.23,0.6,,0,0,,,,,,,,,,,,,2024,Slovakia
6,2023-10-13,19:45,UEFA Euro Qualifying,Group stage,Fri,Away,L,2,3,pt Portugal,,,42.0,46601.0,Milan Škriniar,4-3-3,Tasos Sidiropoulos,Match Report,,9.0,3.0,33.3,0.22,0.67,,0,0,,,,,,,,,,,,,2024,Slovakia
7,2023-10-16,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,1,0,lu Luxembourg,,,47.0,9386.0,Milan Škriniar,4-3-3,José Sánchez,Match Report,,8.0,2.0,25.0,0.13,0.5,,0,0,,,,,,,,,,,,,2024,Slovakia
8,2023-11-16,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,4,2,is Iceland,,,57.0,21548.0,Milan Škriniar,4-3-3,Craig Pawson,Match Report,,17.0,8.0,47.1,0.18,0.38,,1,1,,,,,,,,,,,,,2024,Slovakia
9,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,1,ba Bosnia & Herz'na,,,57.0,3800.0,Milan Škriniar,4-3-3,Julian Weinberger,Match Report,,10.0,3.0,30.0,0.2,0.67,,0,0,,,,,,,,,,,,,2024,Slovakia
10,2024-03-23,18:00,Friendlies (M),Friendlies (M),Sat,Home,L,0,2,at Austria,,,,9912.0,Juraj Kucka,4-1-4-1,Trustin Farrugia Cann,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Slovakia
11,2024-03-26,19:00,Friendlies (M),Friendlies (M),Tue,Away,D,1,1,no Norway,,,,9099.0,Juraj Kucka,4-1-4-1,Giorgi Kruashvili,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Slovakia
12,2024-06-05,18:00,Friendlies (M),Friendlies (M),Wed,Neutral,W,4,0,sm San Marino,,,,452.0,Milan Škriniar,4-1-4-1,Julian Weinberger,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Slovakia
13,2024-06-09,20:45,Friendlies (M),Friendlies (M),Sun,Home,W,4,0,wls Wales,,,,6348.0,Milan Škriniar,4-1-4-1,Daniel Stefański,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2024,Slovakia
14,2024-06-17,18:00,UEFA Euro,Group stage,Mon,Neutral,W,1,0,be Belgium,0.6,1.6,40.0,45181.0,Milan Škriniar,4-3-3,Halil Umut Meler,Match Report,,10.0,4.0,40.0,0.1,0.25,18.1,0,0,0.4,0.4,18.0,1.0,115.0,14.0,13.0,6.0,46.2,9.0,8.0,2.0,2024,Slovakia
15,2024-06-21,15:00,UEFA Euro,Group stage,Fri,Neutral,L,1,2,ua Ukraine,0.8,1.5,56.0,43910.0,Milan Škriniar,4-3-3,Michael Oliver,Match Report,,14.0,5.0,35.7,0.07,0.2,18.5,0,0,0.2,0.2,28.0,2.0,166.0,15.0,21.0,10.0,47.6,22.0,20.0,5.0,2024,Slovakia
16,2024-06-26,18:00,UEFA Euro,Group stage,Wed,Neutral,D,1,1,ro Romania,0.9,1.2,58.0,45033.0,Milan Škriniar,4-3-3,Daniel Siebert,Match Report,,13.0,4.0,30.8,0.08,0.25,17.5,0,0,0.1,0.1,22.0,2.0,109.0,21.0,10.0,2.0,20.0,10.0,5.0,4.0,2024,Slovakia
17,2024-06-30,18:00,UEFA Euro,Round of 16,Sun,Neutral,L,1,2,eng England,2.2,1.5,37.0,47244.0,Milan Škriniar,4-3-3,Halil Umut Meler,Match Report,Required Extra Time,13.0,3.0,23.1,0.08,0.33,19.0,0,0,-1.2,-1.2,24.0,2.0,139.0,17.0,8.0,2.0,25.0,21.0,20.0,1.0,2024,Slovakia
0,2023-03-24,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,4,1,az Azerbaijan,,,51.0,16500.0,Marcel Sabitzer,4-4-2,Bartosz Frankowski,Match Report,,25.0,12.0,48.0,0.16,0.33,,0,0,,,,,,,,,,,,,2024,Austria
1,2023-03-27,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,2,1,ee Estonia,,,66.0,16500.0,Konrad Laimer,4-4-2,Enea Jorgji,Match Report,,19.0,8.0,42.1,0.11,0.25,,0,1,,,,,,,,,,,,,2024,Austria
2,2023-06-17,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1,1,be Belgium,,,44.0,39237.0,David Alaba,4-4-2,Jérôme Brisard,Match Report,,10.0,2.0,20.0,0.0,0.0,,0,0,,,,,,,,,,,,,2024,Austria
3,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,0,se Sweden,,,63.0,46300.0,David Alaba,4-4-2,Marco Guida,Match Report,,21.0,14.0,66.7,0.1,0.14,,0,0,,,,,,,,,,,,,2024,Austria
